TH,Date
0,1/3/2015
0,2/3/2015
1,3/3/2015
0,4/3/2015
0,5/3/2015
0,6/3/2015
0,7/3/2015
0,8/3/2015
0,9/3/2015
0,10/3/2015
0,11/3/2015
0,12/3/2015
0,13/03/2015
0,14/03/2015
0,15/03/2015
0,16/03/2015
0,17/03/2015
0,18/03/2015
0,19/03/2015
0,20/03/2015
0,21/03/2015
0,22/03/2015
0,23/03/2015
0,24/03/2015
0,25/03/2015
0,26/03/2015
0,27/03/2015
0,28/03/2015
1,29/03/2015
0,30/03/2015
1,31/03/2015
0,1/4/2015
0,2/4/2015
0,3/4/2015
1,4/4/2015
1,5/4/2015
1,6/4/2015
1,7/4/2015
0,8/4/2015
0,9/4/2015
0,10/4/2015
1,11/4/2015
0,12/4/2015
0,13/04/2015
0,14/04/2015
0,15/04/2015
0,16/04/2015
0,17/04/2015
0,18/04/2015
0,19/04/2015
1,20/04/2015
1,21/04/2015
1,22/04/2015
1,23/04/2015
1,24/04/2015
1,25/04/2015
1,26/04/2015
1,27/04/2015
0,28/04/2015
0,29/04/2015
1,30/04/2015
1,1/5/2015
0,2/5/2015
0,3/5/2015
0,4/5/2015
0,5/5/2015
0,6/5/2015
1,7/5/2015
0,8/5/2015
0,9/5/2015
0,10/5/2015
0,11/5/2015
1,12/5/2015
0,13/05/2015
1,14/05/2015
1,15/05/2015
1,16/05/2015
0,17/05/2015
0,18/05/2015
0,19/05/2015
0,20/05/2015
0,21/05/2015
0,22/05/2015
0,23/05/2015
1,24/05/2015
1,25/05/2015
0,26/05/2015
0,27/05/2015
0,28/05/2015
0,29/05/2015
0,30/05/2015
0,31/05/2015
0,1/6/2015
0,2/6/2015
1,3/6/2015
1,4/6/2015
0,5/6/2015
0,6/6/2015
0,7/6/2015
1,8/6/2015
0,9/6/2015
1,10/6/2015
0,11/6/2015
1,12/6/2015
1,13/06/2015
0,14/06/2015
1,15/06/2015
1,16/06/2015
0,17/06/2015
1,18/06/2015
1,19/06/2015
1,20/06/2015
0,21/06/2015
0,22/06/2015
0,23/06/2015
1,24/06/2015
0,25/06/2015
0,26/06/2015
1,27/06/2015
0,28/06/2015
0,29/06/2015
1,30/06/2015
